name,ownerAddress,publicKey,effectiveness,attestations
DAppNodeGBeast,0x261F436676cFA456a8F086a850160E97550AEA9C,8fd99e5ef79aadd3fe918674b2639cfa2987caf541fd9c18cad2e2b88a38337a,40,46
BARAMIO,0xBAADFaa744694Fc1134bc5D6318c453778c4209F,a573ba211723b58478ae3a4f5ac19dcd283d504034fd9fc0fb0b788a00012798,40,47
DAppNodeGBeast,0x261F436676cFA456a8F086a850160E97550AEA9C,79c079a2c2b4996e16d0c899e661f19abede78143669ccc8b621d230d74cb3f9,40,47
silent666,0xD03176B49C015B0053b8e9b19DB2Ba8d7d173aAF,9e6e5908747eb1b91184c6e15ffccc5800af2ec6906ccbf1c83c71e5ddd2a7c2,40,47
DAppNodeTehLlama,0xC483287d7E6D2d5427444b7B5690794D5C886C27,4248a71fa6047fd40deb3ed0990bbae2dee0fc081b396b72188cc7dc3463374d,39,46
3NDDGroup,0x8a86BD0086Db2ED3d7D99FC86af7A9036F1C42c8,5320fba3ca9d14aca7fa9135686e3d3cbe26891651b2cc39c95a17b9f67284b7,40,47
Cryptography,0xd4D5CD867944AfDd49b13E98CEA60a9F8c0C84Ec,c280c79a9a34f8da9cf4078cfe487cface6f34d54039af2080b87323a35c03ba,40,47
SkillZ,0x0b051D622446e517BD2F5e0Af393bd53f84fe405,2e607e272f9e7f09273c95fddccbfa6d56d951123d54c7ccc682d98eb56ba096,39,46
SimplyStaking,0x58aBfF68f76Bc25aA2b2984b95d5659c7bD05e44,4a6f0fc6f405f09ef9ccca3ad513d8369f8dbf40430be6bfe3403b5e9c439da7,40,47
blockscape,0xC37F899BB002D93fdcbD9D91d42889AC0e29B704,05b48831c7141420a721d35e78c5daa0a933f66b28ed46729dcff6f8b5ffa658,39,46
Bugiman,0x854FbE4531280fd1C9928A7099Dc4e4B5d3Ad8Cb,3757841115404df69f747b1266aeff2cde334667dfea15dc3364b0b7d2f26bfa,40,47
ssvdevelop,0x02e216DD67bC705564f1c51d81ce8E9B67072F73,29980f2fa9c62e88fc2e8ebc4318b3bcc16dcfb21cce49df39f3254fef833eb7,40,47
shardlabs,0x02e216DD67bC705564f1c51d81ce8E9B67072F73,b663cb3b1d1c6f9c52c24521f1b3ff828648db52cbcd54cc893deac987abd0ba,39,45
BigBob,0x66EC8D5a0f2634e070f180401b472EA3fddd3222,8c5b0d13f04c164403070269df59d6c6424dcea277ca449aa359df22bd139447,40,47
