ownerAddress,publicKey,operatorPublicKeys,active,effectiveness,attestations
0x06a6dc2Fc119775A094813B8DA83b2e2644f4F70,0x8ccbd3fbcdabaa9365b847b4dc4937c8945daf89f8b3eb96bc86e1955ba037b4136a4b1b9b8da240bc6c04a1a12009e9,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,69,99
0x0f14E34723997e1E1e2B7E3760178c98B22651ab,0xa1c067627cb9a1fa1a2843385dbb12bbce45f792269b8e5238bf1f9a21311ff8df3139f40614d9f6646d310262f96cc2,ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;3e21b3e442f19ff5cd0bf69bc5b5b6fb58d36031f42975d989bb31215e9fd57d;d0d6fcc3a94e0c836ad2bd45c4035e62f0f770b5a670c8be6a0b54c88cc4063c;e400254a9ce650c83e27e7eb23df00616dd96f2d1e6ca17cf353a1e2d5f5982f,true,0,0
0x4BC656B34De23896fa6069C9862F355b740401aF,0xabb063e7d5724b4821b877e851e14c11af64ffe0c600c50801765a6e2d931c9571907c8a3fe57c35aa8bfbdcccb7b49c,ec2d7cc7fd76ae561281e3a8089bd0a3e787c1e2827f1b06217881b140804724;ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952,true,78,100
0x7d6d6C319b0dE2841bB0E564300D0dE4D8B0f403,0x91e420634c5c23af7e64627a25431f19e2a6e04d928b43874d044877dd66173972d3bba37a42deb5b738cb29f0e7cd4d,ec2d7cc7fd76ae561281e3a8089bd0a3e787c1e2827f1b06217881b140804724;ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47,true,79,97
0xDccf8451070a86183eE70D330C4c43b686E9CF86,0x81bde578cebc5646c152e5c94113e38c2741cd26b1b7865143f50914916ded9e4cc34c597ac17f52c31269e39515d961,ec2d7cc7fd76ae561281e3a8089bd0a3e787c1e2827f1b06217881b140804724;ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952,true,66,97
0x4aC804537422a3A1F8843FAd4710dD0b4e1e8B0e,0x826d0ad662bae6110ae1a1bf2d2c25be3b0ff69f4da42eadd5e53a8fe1e97ebeeef6b037f467f4146179020406a06634,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;dd7346e93560e32390481520cc288beb3a237a3d52614d7deb0c7fa2b1fa6c68;c49764371bb92e58c5c8a6ba957a4128e34915aae91e409616daf28262ebd1de;d3046f87aea3dc240cf7a1244104d9c43a22639d707e9dfe7090529b9602e731,true,0,0
0x4aC804537422a3A1F8843FAd4710dD0b4e1e8B0e,0x965ce743a71829c4ab806de03f315c7dffbbc826660bb5dd901b11a0c7fdf2fc0f213ca9f9b17e4eee1296143e5dca1a,d3046f87aea3dc240cf7a1244104d9c43a22639d707e9dfe7090529b9602e731;457061dd4bae243ec476f2d2e9009ecfdfcc55ef3b61cd2545ff26fb5b756671;ec2d7cc7fd76ae561281e3a8089bd0a3e787c1e2827f1b06217881b140804724;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952,false,0,0
0xccB040A1Ef49b14615325D8088905E97A341f40C,0xabadd0b61476942d5ec96f5ad8a0d5292810756d5d75a2b68450c058b2f52ad30f0a982da628646bc08676df19cd5756,d3046f87aea3dc240cf7a1244104d9c43a22639d707e9dfe7090529b9602e731;457061dd4bae243ec476f2d2e9009ecfdfcc55ef3b61cd2545ff26fb5b756671;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952,true,0,0
0xccB040A1Ef49b14615325D8088905E97A341f40C,0x82c3a26491f0ddef97b72dd1ad0e17ee6d6ba7ae71037583856b8e9bb136e0bd8d7c8462e0922bdeb3fa09a179457d47,ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;39510f99809eb56cd89882dfbd32aa6190ac8649ff3464b692347a4c70a16e1d;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;913fcb3e96be3f72b203ffa854db08b4fc430cd8d463f0e60f45dfe52ee68b9e,true,75,98
0x0f14E34723997e1E1e2B7E3760178c98B22651ab,0x8634268461fb4a8424cac0e692dfbef8fbe1ddcde640b8b50fad80e15648f26c5e36601376960a673b877b5e5f03e73a,ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;3e21b3e442f19ff5cd0bf69bc5b5b6fb58d36031f42975d989bb31215e9fd57d;fc382aafac6615c1a04ac4adc565300ce23a30bca8ab379527b73f9a121e5a17;83ebbd990fce9acf9f47ffadb7c8533daa2cc6ebd32db93c1b675b689f361dba,true,0,0
0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,0x91b1ed239de06d1f303fd7232d1d225f7d3df10560f230498b97320ecb9f193902366737f4fc554b51056399887c5964,913fcb3e96be3f72b203ffa854db08b4fc430cd8d463f0e60f45dfe52ee68b9e;d3046f87aea3dc240cf7a1244104d9c43a22639d707e9dfe7090529b9602e731;91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;8d10f06f471859655e79dc658e3182a19fdc2dc7bcb61bb58e38a3dfbd625972,false,0,0
0x0f14E34723997e1E1e2B7E3760178c98B22651ab,0xaac39901165f3265ad17abc5752a31966f0e2ccbfc1cbbb6beebe74780af9564443efcef87ef6443e15a935f07fbe222,ae7013c20f5d105268a394b03bce6e8a11ff371927fc9d356cfb48645ce0923c;3e21b3e442f19ff5cd0bf69bc5b5b6fb58d36031f42975d989bb31215e9fd57d;d0d6fcc3a94e0c836ad2bd45c4035e62f0f770b5a670c8be6a0b54c88cc4063c;e400254a9ce650c83e27e7eb23df00616dd96f2d1e6ca17cf353a1e2d5f5982f,true,0,0
0xccB040A1Ef49b14615325D8088905E97A341f40C,0x8db7d9c8bb52adf7159f9f1168900fdc6af9ea652333a8aabf4e201ca9cbd53d92ca0a13acd920a1ffcf6450061ed02e,91add6368b64da7d69b6862f54bb1af3b3be02c13aac54dee7cacbc9e9819952;0a837806d09241c542c6712e955bb23aa0c4313cce3c5a5873db5638b8272653;3635c7c715ae4e48c89f217a43191c70e692921f0815605463e8be61530edf47;f7713dd46bccb4b2ebf4b3a36def6389aa695838f57c6bae6db71b7d79a8c73e,true,75,97
